,ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
254,,,,164.04166666666663,255,1117.63629675621,99128.0344782174,11.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,255
255,,,,164.04166666666663,256,1093.1045611497084,94906.54843419012,10.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,256
1,Rhode Island Ave & Paducah Rd,Zebra Stripe,No,164.04166666666663,2,1129.8514957903046,101050.49553925372,15.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,2
253,,,,164.04166666666663,254,1108.9857786320233,97684.45984398684,11.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,254
162,Baltimore Ave & Lakeland Rd,Zebra Stripe,Yes,164.04166666666663,163,1096.0707366433703,95441.66063048672,14.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,163
90,Baltimore Ave,Bar,Yes,164.04166666666663,91,1089.514163109008,94324.22909570904,17.0,0.0,22.0,1,Injury Crashes,Injury Crashes,100.0,100.0,91
98,Baltimore Ave & SB Cap Belt Hwy,Zebra Stripe,No,164.04166666666663,99,1084.9551698475211,93569.06484759117,7.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,99
99,Baltimore Ave & SB Cap Belt Hwy,Zebra Stripe,No,164.04166666666663,100,1151.337646729794,104814.08650587485,7.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,100
107,,,,164.04166666666663,108,1107.7304054859378,97399.18481560872,7.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,108
109,Metzerott Rd,Zebra Stripe,RRFB,164.04166666666663,110,1118.361447367606,99214.91317681767,19.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,110
110,,,,164.04166666666663,111,1121.1851755115956,99721.87523170227,4.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,111
163,Baltimore Ave & Lakeland Rd,Zebra Stripe,Yes,164.04166666666663,164,1144.4165409734346,103527.64986368953,14.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,164
121,,,,164.04166666666663,122,1224.4525429944968,116934.02772206556,19.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,122
252,,,,164.04166666666663,253,1118.717214091736,99310.15633204147,11.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,253
122,,,,164.04166666666663,123,1240.5261789167087,119830.42105963804,15.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,123
128,,,,164.04166666666663,129,1084.4534455880748,93490.1269976038,19.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,129
132,,,,164.04166666666663,133,1319.5215365192719,133341.3027337056,6.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,133
133,,,,164.04166666666663,134,1320.7137160703553,133483.3709414162,6.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,134
134,,,,164.04166666666663,135,1130.98680025229,101351.27438475721,6.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,135
135,,,,164.04166666666663,136,1106.56311189247,97247.44508285276,6.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,136
145,,,,164.04166666666663,146,1196.4328706569315,112290.39117764765,8.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,146
178,Baltimore Ave & Fraternity Row,Zebra Stripe,Yes,164.04166666666663,179,1096.7174999466527,95567.40471202243,14.0,0.0,21.0,1,Injury Crashes,Injury Crashes,100.0,100.0,179
179,Baltimore Ave & Fraternity Row,Zebra Stripe,Yes,164.04166666666663,180,1097.290232822627,95656.72910465057,14.0,0.0,21.0,1,Injury Crashes,Injury Crashes,100.0,100.0,180
86,Ikea Center Blvd & Ikea Way,Zebra Stripe,No,164.04166666666663,87,1126.321064649962,100449.698803531,12.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,87
181,Baltimore Ave & College Ave,Zebra Stripe,Yes,164.04166666666663,182,1126.1934172707756,100585.1276086342,7.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,182
251,,,,164.04166666666663,252,1105.308202213233,97042.5956133736,11.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,252
146,,,,164.04166666666663,147,1175.9845022600527,108796.49291222302,8.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,147
199,Baltimore Ave & Calvert Rd,Zebra Stripe,Yes,164.04166666666663,200,1191.0470616584792,111580.07057080652,12.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,200
198,Calvert Rd & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,199,1141.7687827705065,103207.09547910896,12.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,199
50,,,,164.04166666666663,51,1118.2893470473527,99229.19714017215,16.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,51
51,,,,164.04166666666663,52,1234.3778459525854,118898.78009450783,16.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,52
195,Baltimore Ave & Hartwick Rd,Zebra Stripe,Yes,164.04166666666663,196,1197.8550856311551,112764.22755097393,17.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,196
194,Hartwick Rd & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,195,1143.2478327400177,103523.62465896594,17.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,195
52,,,,164.04166666666663,53,1108.96617216175,97665.80971681181,16.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,53
67,,,,164.04166666666663,68,1121.714021678082,99643.82035722144,13.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,68
69,,,,164.04166666666663,70,1090.6145311630216,94488.81369274322,17.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,70
70,,,,164.04166666666663,71,1105.124235285766,96925.37228873094,17.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,71
71,Hollywood Rd & Baltimore Ave,Bar,Yes,164.04166666666663,72,1110.3953454179511,97857.07957645283,15.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,72
85,Ikea Center Blvd & Ikea Way,Zebra Stripe,No,164.04166666666663,86,1102.1002817193616,96402.71068592551,12.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,86
182,Baltimore Ave & College Ave,Zebra Stripe,Yes,164.04166666666663,183,1120.9600297784912,99718.37533884092,7.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,183
331,Rhode Island Ave & Fox St,Piano Key,RRFB,164.04166666666663,332,1127.852943546358,100805.35597027304,14.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,332
