Type NM Description,PersonID NM,ReportNumber NM,ActionPriorToCrash NM,ActionPriorToCrash NM Description,Age NM,City NM,ContactPoint NM,ContactPoint NM Description,DistractedByAction NM,DistractedByAction NM Description,DistractedBySource,DistractedBySource Description,Gender NM,IncidentResponder NM,IncidentResponder NM Description,InjuryStatus NM,InjuryStatus NM Description,Location NM,Location NM Description,OriginDestination NM,OriginDestination NM Description,State NM,StruckByVehID NM,Type NM,Unknown NM,ZipCode NM
Pedestrian,aa7e1cfe-dd75-4c8c-87a0-686c162e8336,AC26060015,101,Cross/Enter Not at Intersection,59,ODENTON,12,Front,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,b78a8dfa-4d2a-4b92-9309-0c27884d31ed,06,N,21113
Cyclist (Electric),2864b709-ff3b-4890-b7e8-e7d1a18cc582,AC2607001Y,07,Walking/Cycling on Sidewalk,15,SEVERNA PARK,12,Front,00,Not Distracted,,,M,01,No,05,No Apparent Injury,17,Sidewalk,01,School,MD,45eee766-e75c-4d95-987f-026878575519,100,N,21146
Pedestrian,b1b46497-afc2-4c6c-97f7-fbba5ea44542,AC2610000N,100,Cross/Enter at Intersection,24,SEVERN,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,02,Transit,MD,91c1a23f-3db0-4f6f-8b68-6a551ef3d81d,06,N,21144
Cyclist (Electric),dcf2aa32-0a9d-42ff-939e-9f3b8bea90bf,AC2610000S,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),71,SEVERN,03,Right,00,Not Distracted,,,M,01,No,04,Possible Injury,02,Intersection – Unmarked Crosswalk,97,Not Applicable,MD,02e64ba9-7ca8-4dc3-8897-6d03be697dea,100,N,21144
Pedestrian,d14c47a8-4dea-43c3-910b-efd8afff78a0,AC26100010,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),18,SEVERN,06,Rear,00,Not Distracted,,,M,01,No,04,Possible Injury,99,Unknown,97,Not Applicable,MD,3d090004-e2f4-45b8-80a5-963d7da8d342,06,N,21144
Pedestrian,189f10d8-8423-45aa-8ae3-7c4e3a54c55d,AC26100011,98,Other,34,SEVERN,03,Right,00,Not Distracted,,,F,01,No,04,Possible Injury,98,Other,97,Not Applicable,MD,3156ef00-8bc1-40da-88e5-2ff576068c86,06,N,21144
Pedestrian,74498aad-6baf-4eb0-bdcb-ebe6ba1c6279,AC2611001C,99,Unknown,24,CROFTON,12,Front,99,Unknown,99,Unknown,M,01,No,04,Possible Injury,98,Other,99,Unknown,MD,bd213727-9445-48ac-9473-33db4caf96cf,06,N,21114
Cyclist (non-electric),26750f9f-1706-41b0-8a50-25f41dc2487b,AC2612000Y,100,Cross/Enter at Intersection,25,BALTIMORE,09,Left,00,Not Distracted,,,M,01,No,05,No Apparent Injury,02,Intersection – Unmarked Crosswalk,97,Not Applicable,MD,f1612c1d-60b3-41bc-ab7b-b8d36b24e4c3,101,N,21225
Cyclist (non-electric),f1edad44-a62a-4bd6-91f3-4081838a9fbd,AC26120011,98,Other,13,PASADENA,03,Right,00,Not Distracted,,,M,01,No,05,No Apparent Injury,06,Shoulder/Roadside,97,Not Applicable,MD,a278485d-e27c-42f1-8fb1-897120b6c69e,101,N,21122
Cyclist (Electric),c3a02c37-2e0a-40e7-97f4-92caf647fa35,AC2617000L,100,Cross/Enter at Intersection,27,LANHAM SEABROOK,09,Left,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,ed1d3f06-ab71-48cc-95a3-873aa5efd14d,100,N,20706
Cyclist (non-electric),4169a04a-ed8f-4734-bc50-d4a61d943043,AC2617000S,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),27,SEVERNA PARK,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,49b24518-bf67-449c-a716-4d524ab95e68,101,N,21146
Cyclist (non-electric),157f2ce5-a111-42a5-8f01-b3e792d8f806,AC2619000R,100,Cross/Enter at Intersection,12,BALTIMORE,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,02,Transit,MD,0c9557ac-fbab-4a08-93e8-39d4c88a0ea2,101,N,21225
Occupant Of a Non-Motor Vehicle Transportation Device,8c114ea4-ae53-41b3-ae66-90cd1ff075cb,AC2621000F,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),7,BROOKLYN,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,a2bd6b2e-8af9-4973-8a61-d306a5c4626a,08,N,21225
Cyclist (non-electric),1c8a4e28-5429-4817-8f84-1d5684b09c0b,AC2623000Z,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),58,CROFTON,03,Right,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,3039f891-2b77-4c9c-8471-95604c8c3c9d,101,N,21114
Pedestrian,6dc1b2c7-ff05-4dec-b78e-f3939875b216,AC26250018,101,Cross/Enter Not at Intersection,12,SEVERN,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,3344b2c0-16c5-4b26-b58a-db2c4f9b232e,06,N,21144
Cyclist (non-electric),39aa1abc-01f9-4dfe-bb36-820512c6c97f,AC2626000H,100,Cross/Enter at Intersection,9,CROFTON,06,Rear,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,97,Not Applicable,MD,9731079d-7b0c-4b87-b0ac-889e29f82162,101,N,21114
Pedestrian,d3858810-ded8-44cf-84c3-1505a35d4ff6,AC26260015,100,Cross/Enter at Intersection,22,ODENTON,12,Front,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,539b3b43-4059-48bd-984d-f9609733a6bd,06,N,21113
Cyclist (Electric),3723e8ec-ed79-4d90-8319-678730b4a62b,AC2628001G,07,Walking/Cycling on Sidewalk,16,CROFTON,09,Left,00,Not Distracted,,,M,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,cb1cac1c-cfbf-4f3c-8c3a-939ba2b13a9e,100,N,21114
Pedestrian,b54f648e-45cd-44ef-9fe4-4cf02f8d0925,AC2632000B,101,Cross/Enter Not at Intersection,31,BROOKLYN,09,Left,00,Not Distracted,,,M,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,a9692f82-7e34-4934-83c7-650f729cdbf6,06,N,21225
Cyclist (non-electric),170b154f-ed8a-4d6d-9638-293eeeea5c88,AC26330009,98,Other,6,LAUREL,09,Left,00,Not Distracted,,,M,01,No,05,No Apparent Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,6ef56a2f-3fe9-4482-ade8-9ea2fab947ab,101,N,20724
Cyclist (non-electric),081eff12-fe3a-495b-817d-3ae8877695b3,AC26330009,98,Other,39,LAUREL,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,6ef56a2f-3fe9-4482-ade8-9ea2fab947ab,101,N,20724
Pedestrian,2afe2852-7661-4c08-91f9-c7475c0b446a,AC26510009,102,Standing,60,PASADENA,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,776ba8da-111c-417e-aab6-aba8d36f4651,06,N,21122
Unknown,e5b88af1-ab17-457c-af5c-fab69abe7dbd,AC26540002,102,Standing,28,BROOKLYN,09,Left,03,"Other Action (looking away from task, etc.)",05,Passenger/Other Non-Motorist,F,98,Other,05,No Apparent Injury,98,Other,97,Not Applicable,MD,b6934cc5-e345-4997-82d6-2da3da06dc3b,99,N,21225
Occupant of Motor Vehicle Not in Transport,4b15785f-e3c2-44e6-92a9-b27e55a0fedc,ADD7210089,105,Other Working,19,PASADENA,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,115cb720-04a8-47f4-832f-5c4708f766cb,103,N,21122
Wheelchair (non-electric),26016d90-a462-4829-a08e-4448b68d1d13,ADE45900G0,100,Cross/Enter at Intersection,62,BALTIMORE,09,Left,00,Not Distracted,,,M,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,e11c539e-e6eb-4e36-8c89-42ea88affe79,12,N,21202
Cyclist (non-electric),e23ba107-2f90-40f9-aee9-b1b76c686e5f,ADE45900GN,98,Other,41,BALTIMORE,06,Rear,00,Not Distracted,,,M,01,No,02,Suspected Serious Injury,98,Other,99,Unknown,MD,86882f68-6da3-42d4-8772-6dfc3b9b48d8,101,N,21202
Pedestrian,3cb05d70-b0b9-401e-a25d-287a8d6d7a63,ADE45900HD,100,Cross/Enter at Intersection,24,BALTIMORE,99,Unknown,00,Not Distracted,,,F,01,No,04,Possible Injury,03,Intersection – Other,99,Unknown,MD,e1b2c046-0777-4058-b8ff-61a0e0b1ee13,06,N,21218
Pedestrian,2d985fe0-25d0-4779-93a5-b61016d6f79e,ADF189003H,102,Standing,28,GLEN BURNIE,03,Right,99,Unknown,99,Unknown,M,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,bf9f434a-0fe1-4348-8c59-d1ea9a28daba,06,N,21060
Pedestrian,45bfef23-1842-4a11-b2c0-e24441b10743,ADF504005B,101,Cross/Enter Not at Intersection,30,WINDSOR MILLS,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,b9450ec2-a761-416c-affe-42a4d3b3158b,06,N,21244
Pedestrian,71aef959-e8bf-4dd2-8dfc-4268b3ab392b,ADF504005K,101,Cross/Enter Not at Intersection,33,BALTIMORE,03,Right,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,417624ca-6952-4885-a039-9275d10efa8a,06,N,21202
Cyclist (non-electric),79034e17-51b4-4101-b288-9332406de0d0,ADF504005P,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),42,BALTIMORE,12,Front,00,Not Distracted,,,M,01,No,05,No Apparent Injury,07,Travel Lane – Other Location,99,Unknown,MD,918130cf-a51e-4f34-beb8-fd8b4b92c06e,101,N,21224
Unknown,1a94a623-5c4b-4831-ad87-df93eafc067a,ADF8030009,00,None,30,BALTIMORE,99,Unknown,00,Not Distracted,,,M,04,Police,05,No Apparent Injury,06,Shoulder/Roadside,97,Not Applicable,MD,76ac8448-bd0f-4444-b493-752dbc2a74a4,99,N,21224
Pedestrian,f20b4d9f-a9f4-41d5-8741-1d56ae7616e6,ADF81900D7,101,Cross/Enter Not at Intersection,49,ODENTON,09,Left,99,Unknown,99,Unknown,F,01,No,01,Fatal Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,715b85c3-b25c-4012-9512-3b6e9623e2ee,06,N,21113
Pedestrian,e6b019f4-10cb-4d48-ac6a-9d3124d07c37,ADF81900DB,102,Standing,58,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,fb29471e-268f-4687-84de-c092f93bb0fd,06,N,21205
Pedestrian,b09370a6-4dbb-43b2-981b-fc11712e1507,ADF81900DD,100,Cross/Enter at Intersection,40,BALTIMORE,09,Left,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,0d925543-8bf7-4cb5-9dc1-19a4dbe9e6dc,06,N,21218
Pedestrian,41594f14-fb38-493e-ba0a-b0bfe437e60b,ADF828005G,101,Cross/Enter Not at Intersection,123,BALTIMORE,09,Left,99,Unknown,99,Unknown,M,01,No,04,Possible Injury,06,Shoulder/Roadside,99,Unknown,MD,9e7c750c-e82e-4b08-8255-ece9c4171bdb,06,N,21210
Pedestrian,5c6cf80e-bc26-4f3c-b985-6e971f6ee016,ADF880005L,101,Cross/Enter Not at Intersection,12,BALTIMORE,03,Right,01,Talking/listening,03,Other Electronic Device,F,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,1be39f61-ac0b-4274-bd05-7bd42e5f5374,06,N,21223
Cyclist (non-electric),8dfa95e5-a30c-4deb-8f8b-c07474c68391,ADF880005P,98,Other,27,BALTIMORE,03,Right,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,14417241-89f7-4119-b322-3b0c89623979,101,N,21230
Cyclist (non-electric),22ebe5b0-c552-4b28-9f5c-15ca59c9de74,ADF8800062,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),29,BALTIMORE,03,Right,00,Not Distracted,,,M,01,No,04,Possible Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,af27bb90-fa0a-4b40-adca-b15b062d94ae,101,N,21230
Pedestrian,070a9e4e-e94e-41b9-9ff5-57de53389c30,ADF9770040,102,Standing,27,BALTIMORE,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,4071cfe0-b8f0-4af3-8a4b-d48b54bd32c3,06,N,21218
Occupant of Motor Vehicle Not in Transport,4e0beedc-8816-4b77-a2ca-736854bb0f2b,ADG0980004,105,Other Working,31,WINDSOR MILL,99,Unknown,99,Unknown,99,Unknown,M,01,No,05,No Apparent Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,9be3de19-5620-4fdc-99a5-2e682bdf684a,103,N,21244
Pedestrian,e4dc0b46-3f42-48ee-b1e8-2169bdb119b3,ADG2040038,100,Cross/Enter at Intersection,14,BALTIMORE,03,Right,03,"Other Action (looking away from task, etc.)",99,Unknown,F,01,No,02,Suspected Serious Injury,98,Other,02,Transit,MD,a133ac3a-3d3a-4b8c-a1af-3d924a7ccf7b,06,N,21213
Pedestrian,8d27b743-7a0d-4a6f-9f1f-9ac77d6c1b7d,ADG204003B,98,Other,43,BALTIMORE,99,Unknown,03,"Other Action (looking away from task, etc.)",99,Unknown,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,dbcc382e-45d1-4ef2-b54b-92c473629969,06,N,21213
Pedestrian,9b2f7b00-77c4-4d0b-91c2-c7229dcef9f9,ADG2040041,07,Walking/Cycling on Sidewalk,21,BALTIMORE,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,f4056a71-c06b-4d36-a98b-f2e772c3a0d4,06,N,21213
Cyclist (non-electric),f8e9b5d5-0dc1-49d5-9673-263a0ff2d257,ADG299003G,100,Cross/Enter at Intersection,0,UNKNOWN,12,Front,99,Unknown,99,Unknown,M,01,No,05,No Apparent Injury,03,Intersection – Other,99,Unknown,MD,57ce9af5-40ff-40be-9f08-94febe643a58,101,N,21230
Pedestrian,cb5408d2-64fa-44d4-a665-66da7ef3930a,ADG299003M,98,Other,69,JACKSONVILLE,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,FL,a40bb3c4-1308-4320-8df7-39620fc40c69,06,N,32257
Pedestrian,f53d2af1-ee82-4482-8e55-c4b674959878,ADG34500PS,105,Other Working,65,BALTIMORE,06,Rear,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,0f482aee-4217-4b46-9355-b81619e33372,06,N,21239
Pedestrian,da39dbb9-4b9c-4adc-8000-45fd04848593,ADG493007R,101,Cross/Enter Not at Intersection,59,BALTIMORE,03,Right,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,11211830-2cc5-4863-98d8-03680470b717,06,N,21205
Scooter (electric),b67a9851-24e0-4895-8677-5c7cf2d5ed5d,ADG4930088,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),48,BALTIMORE,12,Front,00,Not Distracted,,,M,01,No,04,Possible Injury,10,On-Street Bike Lanes,99,Unknown,MD,bd22a8a9-b102-4891-8fb5-f81bae04f0e6,102,N,21213
Cyclist (Electric),319a739d-c9a9-4f30-b9a6-792057c077df,ADG493008G,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),57,BALTIMORE,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,a3407ada-f5eb-4685-8b9a-775d95f2e397,100,N,21218
Pedestrian,ec8b0609-0f24-49bd-ad47-5b05919ae0c6,ADG493008H,101,Cross/Enter Not at Intersection,81,BALTIMORE,03,Right,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,fd0597c2-d11a-47cd-a77b-a6477e7a7195,06,N,21213
Unknown,7af9dc06-5636-4ee2-a402-0ab2eff12ce4,ADG5030029,07,Walking/Cycling on Sidewalk,64,BALTIMORE,06,Rear,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,e89629fc-027b-4550-9cf3-50b0764a58cd,99,N,21217
Scooter (electric),e185e430-8e1b-497f-93a5-5a39f231204b,ADG5090007,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),21,BALTIMORE,12,Front,00,Not Distracted,,,M,01,No,04,Possible Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,a10f9f8e-4124-4c1a-87d7-959ee4b8ccf6,102,N,21218
Cyclist (non-electric),e4862ca1-8ca7-40cb-a982-78902c28283b,ADG593006K,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),46,BROOKEVILLE,99,Unknown,00,Not Distracted,,,M,02,EMS,04,Possible Injury,03,Intersection – Other,99,Unknown,MD,75455e27-525f-464b-b921-97cfe6e8fe1a,101,N,20833
Scooter (non-Electric),685bab49-c7ea-4072-afe2-67018498b76c,ADG6320085,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),26,BALTIMORE,09,Left,99,Unknown,05,Passenger/Other Non-Motorist,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,02,Transit,MD,ca59faa7-e3a4-41db-afa5-195ca970ad04,10,N,21218
Pedestrian,cf4eb32a-001b-4a73-917f-5878915c5e63,ADG632008C,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),59,BALTIMORE,12,Front,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,ab70778b-dec8-4b48-b35f-beec33f84c87,06,N,21211
Pedestrian,808afea3-4d62-4831-ab65-4b99d1c61a84,ADG632008R,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),27,BALTIMORE,12,Front,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,28a9966e-03aa-4c72-a39b-9aee703b2e97,06,N,21211
Occupant of Motor Vehicle Not in Transport,27f4223b-cdc3-46ea-a4b6-483dc71e9af0,ADG632008V,103,Getting Off/On Vehicle,33,BALTIMORE,09,Left,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,06,Shoulder/Roadside,97,Not Applicable,MD,6a5c066c-946b-46a6-a1a8-14f7ec007bbc,103,N,21218
Pedestrian,1072e396-430c-4620-8930-31b77b26ddf8,ADG648005R,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),59,BALTIMORE,09,Left,99,Unknown,99,Unknown,M,02,EMS,04,Possible Injury,06,Shoulder/Roadside,99,Unknown,MD,a774f314-05b0-4784-8f11-65f542ed6540,06,N,21215
Unknown,6f9fe786-23a2-4935-b783-3b24102b5714,ADG7610016,07,Walking/Cycling on Sidewalk,41,BALTIMORE,09,Left,00,Not Distracted,,,F,02,EMS,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,8291bd0d-591f-4340-830a-9f4339e6172c,99,N,21213
Unknown,ff35e9d5-3a50-4676-b37d-b2d8be89d9c7,ADG7610016,100,Cross/Enter at Intersection,4,BALTIMORE,03,Right,00,Not Distracted,,,M,02,EMS,04,Possible Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,8291bd0d-591f-4340-830a-9f4339e6172c,99,N,21213
Pedestrian,dc85e6cb-9ebc-4b8a-93b1-3e007f5cd002,ADG7910036,100,Cross/Enter at Intersection,42,BALTIMORE,12,Front,03,"Other Action (looking away from task, etc.)",03,Other Electronic Device,M,01,No,01,Fatal Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,19e65c5d-1126-478b-8be1-efd2089c90c0,06,N,21218
Pedestrian,95831416-af06-41b6-b4dd-69f35e6ee4fc,ADG7910037,102,Standing,27,BALTIMOREE,12,Front,00,Not Distracted,,,M,01,No,01,Fatal Injury,04,Median/Crossing Island,97,Not Applicable,MD,e0aa2585-fd03-4698-85a0-0099790f1867,06,N,21225
Pedestrian,879d605b-535f-4fe1-8595-fcbcd4d67905,ADG791003B,100,Cross/Enter at Intersection,35,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,01,No,01,Fatal Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,5ef10477-c704-4191-b299-98548529f35b,06,N,21211
Scooter (electric),88dfa94c-ee96-4199-a3ea-e70c2854439f,ADG8060004,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),17,BALTIMORE,12,Front,00,Not Distracted,,,M,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,e95a39a5-1309-4d84-9baa-78473dadf822,102,N,21202
Pedestrian,a42e2bf1-e11d-4e5d-8b67-091f93848f2a,ADG8590065,100,Cross/Enter at Intersection,79,BALTIMORE,12,Front,00,Not Distracted,,,F,03,Fire,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,7ced5732-be5a-47dd-bb78-8b64e52beb18,06,N,21230
Cyclist (non-electric),5e505a86-5216-4a75-8eeb-2907871919f4,ADG859006D,100,Cross/Enter at Intersection,27,BALTIMORE,03,Right,00,Not Distracted,,,M,04,Police,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,97,Not Applicable,MD,6e149b1e-fc65-4d64-a39b-72216430ed49,101,N,21223
Pedestrian,16478b58-d75d-495e-b147-7319aeac2d49,ADG869000Q,100,Cross/Enter at Intersection,15,BALTIMORE,99,Unknown,00,Not Distracted,,,F,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,01,School,MD,85a67079-e606-4c1d-9744-457988434ef3,06,N,21206
Cyclist (non-electric),69300925-4bc3-497a-8501-c7c3c6db5a41,ADG8960013,07,Walking/Cycling on Sidewalk,16,BALTIMORE,09,Left,00,Not Distracted,,,M,01,No,05,No Apparent Injury,13,Off-Street Trails/Sidepaths,97,Not Applicable,MD,a6b5ea3b-9b72-441d-b200-5aebd5131b58,101,N,21202
Pedestrian,a2251892-125a-4361-a91f-687fae3daa23,ADG9070024,100,Cross/Enter at Intersection,84,BALTIMORE,09,Left,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,3d25300b-bca6-420a-8476-3082f7d048e4,06,N,21204
Pedestrian,f40e90d3-4533-4caf-9f68-df9611706165,ADG907002L,101,Cross/Enter Not at Intersection,11,BALTIMORE,03,Right,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,01,School,MD,bfd4b4b6-4abd-4474-99b5-d00beb6e4a83,06,N,21213
Pedestrian,c046726b-e7ba-425a-8944-7b84295d44a9,ADG907002Q,101,Cross/Enter Not at Intersection,12,BALTIMORE,12,Front,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,98,Other,02,Transit,MD,9e59423e-a436-4bfb-bb38-edbf58e9a0ff,06,N,21213
Pedestrian,b29aca54-e38e-42fb-8b8f-db94f817a96c,ADG907002R,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),31,BALTIMORE,09,Left,00,Not Distracted,,,F,01,No,04,Possible Injury,98,Other,02,Transit,MD,b4085609-6569-4e52-8070-369a3ac83155,06,N,21213
Scooter (electric),d06a1355-7ea5-42ce-b19e-0dedbd1341a0,ADG9310033,98,Other,23,BALTIMORE,03,Right,00,Not Distracted,,,M,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,40adad77-c3c6-4c46-a91e-4b76868c3a01,102,N,21218
Pedestrian,e3db4d51-8642-4c0d-8195-98001bb5dbc4,ADG972004Z,98,Other,44,BALTIMORE,03,Right,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,98,Other,97,Not Applicable,MD,9a9c3caa-c4b0-4ddc-9d91-74d5f267ac2d,06,N,21206
Pedestrian,0e9c5473-8206-4183-9793-6726cf807046,ADG9720055,98,Other,21,COCKEYSVILLE,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,e891d45a-cf34-4473-97ee-960cdd30a333,06,N,21030
Pedestrian,01ddb492-48ae-459c-a98b-3997f5eca5fa,ADH00200DZ,07,Walking/Cycling on Sidewalk,26,BALTIMORE,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,17,Sidewalk,99,Unknown,MD,0fa27642-cba1-47c1-abaa-1ab430027a73,06,N,21214
Pedestrian,0a473dba-e5f4-45b9-8570-0de001c21fa4,ADH0170064,100,Cross/Enter at Intersection,53,BALTIMORE,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,b2592fc9-adfe-48f4-aa02-74a226e2820f,06,N,21202
Pedestrian,a7b70836-3bdd-4175-88d2-6f837b51114e,ADH111005D,07,Walking/Cycling on Sidewalk,18,BALTIMORE,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,17,Sidewalk,97,Not Applicable,MD,ab4e7152-59a8-417f-936e-f949e41fbb46,06,N,21212
Pedestrian,9c61b093-45f5-4271-bc98-3c32ceab2d49,ADH161006L,100,Cross/Enter at Intersection,35,BALTIMORE,09,Left,00,Not Distracted,,,F,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,65c30d28-2978-45ee-8643-f67885accaa3,06,N,21224
Pedestrian,bb71acd1-267a-46f6-abe4-66b042c4f603,ADH161006M,99,Unknown,60,BALTIMORE,03,Right,99,Unknown,99,Unknown,M,98,Other,04,Possible Injury,06,Shoulder/Roadside,99,Unknown,MD,28c6407b-10a1-4d12-befc-709745054fcf,06,N,21220
Pedestrian,c4363bd7-d473-4d51-a309-ad11e4eece8d,ADH161006W,98,Other,9,BALTIMORE,03,Right,00,Not Distracted,,,M,01,No,05,No Apparent Injury,98,Other,99,Unknown,MD,25a0952c-336e-4c0d-9878-c9b2ab8e3da3,06,N,21224
Cyclist (non-electric),508a286c-be22-42d5-9e48-89998c4d6d47,ADH162005F,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),45,BALTIMRE,03,Right,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,7cabc7d0-43bc-46d3-890b-eaea16700cde,101,N,21213
