Type NM Description,PersonID NM,ReportNumber NM,ActionPriorToCrash NM,ActionPriorToCrash NM Description,Age NM,City NM,ContactPoint NM,ContactPoint NM Description,DistractedByAction NM,DistractedByAction NM Description,DistractedBySource,DistractedBySource Description,Gender NM,IncidentResponder NM,IncidentResponder NM Description,InjuryStatus NM,InjuryStatus NM Description,Location NM,Location NM Description,OriginDestination NM,OriginDestination NM Description,State NM,StruckByVehID NM,Type NM,Unknown NM,ZipCode NM
"Other Pedestrian (person in a building, skater, personal conveyance, etc.)",d29b675d-835e-4eed-9cc1-287ca15f1129,AC183000G9,98,Other,7,STEVENSVILLE,12,Front,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,da31b616-20a6-4751-a393-d80e6e832a53,07,N,21666
"Other Pedestrian (person in a building, skater, personal conveyance, etc.)",fe2dbd0e-a986-45ba-a1b6-584c18c9eaf2,AC183000G9,98,Other,5,ANNAPOLIS,12,Front,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,da31b616-20a6-4751-a393-d80e6e832a53,07,N,21409
Pedestrian,760e61d9-cda6-4378-b76b-6b52405abd0b,AC1835008H,07,Walking/Cycling on Sidewalk,18,GLEN BURNIE,09,Left,00,Not Distracted,,,M,01,No,04,Possible Injury,17,Sidewalk,01,School,MD,6f1ddb22-9354-4c8b-9a98-59a2bd0f21bc,06,N,21060
Pedestrian,6429a4e2-b14e-4be6-a2d5-d7239d616a68,AC18680053,98,Other,55,RIVERDALE,09,Left,00,Not Distracted,,,M,01,No,02,Suspected Serious Injury,98,Other,97,Not Applicable,MD,a6af0095-85c9-421b-97ef-a0cc3fdcbc8f,06,N,20737
Cyclist (non-electric),78236c65-1818-49d4-aafa-a789323d298e,AC1879006N,98,Other,55,ANNAPOLIS,09,Left,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,7ba8d82f-354c-4477-8010-35f56270b44e,101,N,21409
Cyclist (non-electric),0bd84585-fdb1-4be1-9b06-59f5bda890e5,AC18790076,100,Cross/Enter at Intersection,23,SEVERNA PARK,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,acf7b16d-8287-42bd-a3e3-de15d43284b3,101,N,21146
Cyclist (non-electric),db6ffbe8-3e08-4d2a-adef-092dd63ab8fc,AC1910005H,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),38,ANNAPOLIS,12,Front,00,Not Distracted,,,M,01,No,02,Suspected Serious Injury,03,Intersection – Other,97,Not Applicable,MD,64c3b00a-2f01-40e1-9023-e9ce932fe1ce,101,N,21401
Scooter (electric),448e49bc-d5e9-42ae-bb99-007a5d9eba0a,AC1920005F,07,Walking/Cycling on Sidewalk,18,ANNAPOLIS,12,Front,99,Unknown,99,Unknown,M,01,No,04,Possible Injury,05,Midblock – Marked Crosswalk,99,Unknown,MD,9e25c018-c916-461f-b2a1-6d95e7ff0dc6,102,N,21401
Cyclist (non-electric),2bdd93ec-61bd-4b40-9342-61c4de264b2c,AC1944008R,07,Walking/Cycling on Sidewalk,20,LAUREL,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,17,Sidewalk,97,Not Applicable,MD,699f7db1-98d7-4730-8c98-99bf9d2654f3,101,N,20724
Cyclist (non-electric),7aed40d5-fa60-434b-81bd-17f929b02db0,AC1944009N,100,Cross/Enter at Intersection,16,CROFTON,99,Unknown,00,Not Distracted,,,M,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,3f19956e-8cde-481b-8fa2-3d1aa1d1715a,101,N,21114
